"Title","Url","isPublished","SocCode","EscoTitle","EscoUri","status after SME check","SME comments"
"Trading standards officer","trading-standards-officer","Published","3565E","consumer rights advisor","http://data.europa.eu/esco/occupation/cb60beab-7afb-4e99-8162-221abea68e6d",,
"Train conductor","train-conductor","Published","6215A","train conductor","http://data.europa.eu/esco/occupation/ea034d66-0d35-4891-b82c-6434cad2c76f",,
"Train driver","train-driver","Published","8231A","train driver","http://data.europa.eu/esco/occupation/81f6a814-1f4e-47d4-9c75-47977c7267ee",,
"Train station worker","train-station-worker","Published","6215B","railway sales agent
railway passenger service agent","http://data.europa.eu/esco/occupation/9a99a5fe-875d-49b2-9b53-cc1b73be1659
http://data.europa.eu/esco/occupation/9653fb92-ad48-4865-a471-f270302fa93b
http://data.europa.eu/esco/occupation/9653fb92-ad48-4865-a471-f270302fa93b","decision req","poss http://data.europa.eu/esco/occupation/9a99a5fe-875d-49b2-9b53-cc1b73be1659 - railway sales agent - mainly ticket sales but service agent mainly marketing though desc is the closer match to jp"
"Training manager","training-manager","Published","3563E","corporate training manager","http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5",,
"Training officer","training-officer","Published","3563F","corporate trainer","http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e","good match",
"Tram driver","tram-driver","Published","8231B","tram driver","http://data.europa.eu/esco/occupation/03e02554-15d1-4697-960c-8909e7d36f7e",,
"Translator","translator","Published","3412G","translator","http://data.europa.eu/esco/occupation/1a07bd7d-2e1d-4930-a84a-1a442b8f2a44",,
"Transport planner","transport-planner","Published","2436B","transport planner","http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e",,
"Travel agency manager","travel-agency-manager","Published","1226A","travel agency manager","http://data.europa.eu/esco/occupation/9358775a-3769-4327-bf25-6c0d9d69d192",,
"Travel agent","travel-agent","Published","6212A","travel agent","http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31",,
"Tree surgeon","tree-surgeon","Published","5119F","tree surgeon","http://data.europa.eu/esco/occupation/fa30c1cb-dbc5-409c-8124-7284592b123c",,
"TV or film assistant director","tv-or-film-assistant-director","Published","3416E","assistant video and motion picture director","http://data.europa.eu/esco/occupation/71898b81-fc2f-4a97-826d-f45e49a8160a",,
"TV or film camera operator","tv-or-film-camera-operator","Published","3417J","camera operator","http://data.europa.eu/esco/occupation/6fed206a-ac4d-492b-a81a-5a3a0f2b67bc",,
"TV or film director","tv-or-film-director","Published","3416F","video and motion picture director","http://data.europa.eu/esco/occupation/1a7fb683-6544-4442-b54c-ec72ef468ff0",,
"TV or film producer","tv-or-film-producer","Published","3416G","video and motion picture producer","http://data.europa.eu/esco/occupation/3b6bea7d-36f4-44fb-ac73-d1cc8a198dcb",,
"TV or film production assistant","tv-or-film-production-assistant","Published","3416H","video technician
audio-visual technician","http://data.europa.eu/esco/occupation/a59feab2-9bc9-4b25-97cf-995998164502
http://data.europa.eu/esco/occupation/7642cbcc-9839-47fb-b2cf-d4bb831d6c93
http://data.europa.eu/esco/occupation/7642cbcc-9839-47fb-b2cf-d4bb831d6c93","decision req","both ESCO roles are a partial match at best"
"TV or film production manager","tv-or-film-production-manager","Published","1259C","performance production manager","http://data.europa.eu/esco/occupation/03632d98-0ae3-4dd2-941c-3b48de9a0219",,
"TV or film production runner","tv-or-film-production-runner","Published","9219B",,,"no match","no suitable equivalent found"
"TV or film sound technician","tv-or-film-sound-technician","Published","3417K","boom operator","http://data.europa.eu/esco/occupation/fe4a72af-6206-4d86-90c1-b5fb4b5ba2b2","good match","ESCO also has broadcast technician but boom operator closer for for sound-specific skills"
"TV presenter","tv-presenter","Published","3413A","presenter","http://data.europa.eu/esco/occupation/09a9a956-db70-436f-8398-d85a17f6cdfe",,
"Typist","typist","Published","4217B","typist","http://data.europa.eu/esco/occupation/22f86890-f68b-402f-a711-3e6df4913271",,
"Upholsterer","upholsterer","Published","5412A","upholsterer","http://data.europa.eu/esco/occupation/95a89206-4dc8-4753-a5d9-bc14a0e5f7ca",,
"User experience (UX) designer","ux-designer","Published","2137A","user experience analyst","http://data.europa.eu/esco/occupation/faed411a-f920-4100-86a8-b877928b429c","replace","ESCO user interface designer http://data.europa.eu/esco/occupation/96e20037-0a25-4bf6-a25e-808d1605d890 - "
"User researcher","user-researcher","Published","2426C","user experience analyst","http://data.europa.eu/esco/occupation/faed411a-f920-4100-86a8-b877928b429c","good match",
"Vehicle body repairer","vehicle-body-repairer","Published","5232A","refurbishing technician","http://data.europa.eu/esco/occupation/0ec62c2e-30c9-434e-bf36-5277a0840450",,
"Vending machine operator","vending-machine-operator","Published","7122A","vending machine operator","http://data.europa.eu/esco/occupation/9ab02537-920a-4549-9711-fd999fd40c28",,
"Vet","vet","Published","2216A","official veterinarian","http://data.europa.eu/esco/occupation/4ce42c3c-8a46-40b6-9274-1f5cee3c5cba",,
"Veterinary nurse","veterinary-nurse","Published","6131A","veterinary nurse","http://data.europa.eu/esco/occupation/24f1eb3a-e99c-4c38-9bda-ba2ba6bf9fa4",,
"Veterinary physiotherapist","veterinary-physiotherapist","Published","2221C","animal physiotherapist","http://data.europa.eu/esco/occupation/5beafebe-9211-4b3a-adf1-6161097a3975",,
"Victim care officer","victim-care-officer","Published","4112D","victim support officer","http://data.europa.eu/esco/occupation/90569478-805c-4d14-a1ba-e9c9c4ac2818",,
"Video editor","video-editor","Published","3416I","video and motion picture editor","http://data.europa.eu/esco/occupation/ac734172-ae9a-41ab-80a0-a7b33694e027",,
"Visitor attraction general manager","visitor-attraction-general-manager","Published","1225B","tourism policy director","http://data.europa.eu/esco/occupation/e246eca2-2cec-45b4-ae76-aa1f37d07bc5",,
